0 	285.15
0.00217143 	287.257
0.00434286 	289.144
0.00651429 	290.501
0.00868571 	291.282
0.0108571 	291.727
0.0130286 	292.017
0.0152 	292.23
0.0173714 	292.397
0.0195429 	292.539
0.0217143 	292.663
0.0238857 	292.777
0.0260571 	292.887
0.0282286 	292.998
0.0304 	293.111
0.0325714 	293.224
0.0347429 	293.338
0.0369143 	293.453
0.0390857 	293.568
0.0412571 	293.685
0.0434286 	293.803
0.0456 	293.924
0.0477714 	294.045
0.0499429 	294.168
0.0521143 	294.292
0.0542857 	294.421
0.0564571 	294.563
0.0586286 	294.725
0.0608 	294.916
0.0629714 	295.153
0.0651429 	295.472
0.0673143 	295.947
0.0694857 	296.759
0.0716571 	298.147
0.0738286 	300.059
0.076 	302.19
