0 	280.294
0.00217143 	282.404
0.00434286 	284.215
0.00651429 	285.591
0.00868571 	286.489
0.0108571 	287.03
0.0130286 	287.362
0.0152 	287.566
0.0173714 	287.683
0.0195429 	287.74
0.0217143 	287.754
0.0238857 	287.738
0.0260571 	287.699
0.0282286 	287.643
0.0304 	287.573
0.0325714 	287.492
0.0347429 	287.402
0.0369143 	287.305
0.0390857 	287.201
0.0412571 	287.089
0.0434286 	286.972
0.0456 	286.854
0.0477714 	286.743
0.0499429 	286.642
0.0521143 	286.56
0.0542857 	286.504
0.0564571 	286.482
0.0586286 	286.51
0.0608 	286.612
0.0629714 	286.818
0.0651429 	287.18
0.0673143 	287.768
0.0694857 	288.659
0.0716571 	289.928
0.0738286 	291.624
0.076 	293.666
